 radius= 1.0000E+01 lambda= 5.3200E-01 x= 1.1810E+02

Qext= 2.0959E+00 Qsca= 2.0959E+00 Qabs= 0.0000E+00 <cos>= 8.2795E-01
                 Qbk = 5.1624E-03
  theta       S11           POL           S33           S34
 126.70   1.26841E+02   4.57889E-01  -1.07572E+02  -3.38185E+01
 127.21   1.39897E+02   5.03775E-01  -1.20560E+02   8.33732E+00
 127.71   1.29459E+02   1.87305E-01  -1.23975E+02   2.83200E+01
 128.21   1.08420E+02  -6.93028E-02  -1.08095E+02  -3.73333E+00
 128.72   1.11901E+02   2.06909E-01  -1.05718E+02  -2.84521E+01
 129.22   1.43697E+02   4.47821E-01  -1.28406E+02   4.45737E+00
 129.72   1.56310E+02   3.18592E-01  -1.40816E+02   4.60867E+01
 130.22   1.26665E+02   8.27943E-02  -1.23156E+02   2.76909E+01
 130.73   1.11996E+02   2.05378E-01  -1.08733E+02  -1.38264E+01
 131.23   1.45456E+02   4.96739E-01  -1.25920E+02  -9.00220E+00
 131.73   1.66483E+02   4.62354E-01  -1.46393E+02   1.89911E+01
 132.23   1.36290E+02   2.29634E-01  -1.31843E+02   1.45882E+01
 132.74   1.02556E+02   5.17434E-02  -1.01120E+02  -1.62567E+01
 133.24   1.10624E+02   2.16527E-01  -1.03683E+02  -3.02275E+01
 133.74   1.43237E+02   2.94950E-01  -1.36724E+02  -6.20820E+00
 134.25   1.51810E+02   1.87866E-01  -1.46975E+02   2.51236E+01
 134.75   1.24520E+02   5.61279E-02  -1.22269E+02   2.25079E+01
 135.25   1.09849E+02   1.35288E-01  -1.08793E+02   3.14523E+00
 135.75   1.34073E+02   3.40746E-01  -1.25981E+02   4.14928E+00
 136.26   1.52264E+02   3.80185E-01  -1.40245E+02   1.28303E+01
 136.76   1.33752E+02   2.91924E-01  -1.27840E+02   4.69439E+00
 137.26   1.10025E+02   1.80887E-01  -1.07485E+02  -1.25036E+01
 137.77   1.12228E+02   1.60964E-01  -1.08895E+02  -2.02653E+01
 138.27   1.32852E+02   1.42358E-01  -1.31176E+02  -9.21253E+00
 138.77   1.46402E+02   8.82801E-02  -1.45500E+02   9.80951E+00
 139.27   1.41514E+02   8.21470E-02  -1.40136E+02   1.59035E+01
 139.78   1.34339E+02   1.91333E-01  -1.31206E+02   1.30800E+01
 140.28   1.36058E+02   3.17302E-01  -1.28157E+02   1.49547E+01
 140.78   1.32391E+02   3.28020E-01  -1.24660E+02   1.00774E+01
 141.28   1.19362E+02   2.49765E-01  -1.15008E+02  -1.14747E+01
 141.79   1.10809E+02   1.79044E-01  -1.04295E+02  -3.17420E+01
 142.29   1.09780E+02   1.32049E-01  -1.05189E+02  -2.78697E+01
 142.79   1.17324E+02   1.99611E-02  -1.17296E+02   1.12142E+00
 143.30   1.36757E+02  -1.22910E-01  -1.32970E+02   2.71813E+01
 143.80   1.56460E+02  -8.45807E-02  -1.54172E+02   2.31441E+01
 144.30   1.64906E+02   2.19723E-01  -1.60650E+02   8.52985E+00
 144.80   1.54218E+02   5.11085E-01  -1.31200E+02   1.89039E+01
 145.31   1.22706E+02   4.45623E-01  -1.05671E+02   3.00063E+01
 145.81   1.10874E+02   6.83453E-02  -1.09962E+02  -1.20058E+01
 146.31   1.40170E+02  -5.16849E-02  -1.12931E+02  -8.27150E+01
 146.82   1.46665E+02   2.74506E-02  -1.17711E+02  -8.73995E+01
 147.32   1.08424E+02   3.10992E-01  -1.03042E+02   1.05585E+00
 147.82   8.98036E+01   7.84830E-02  -2.93099E+01   8.45928E+01
 148.32   1.32570E+02  -8.15156E-01  -5.48407E+01   5.37510E+01
 148.83   2.89890E+02  -1.64935E-01  -2.71423E+02  -8.98873E+01
 149.33   4.98749E+02   5.40434E-01  -3.56729E+02  -2.21003E+02
 149.83   4.41262E+02   8.35594E-01  -1.58448E+02  -1.83454E+02
 150.34   1.41236E+02   9.66805E-01   1.57678E+01  -3.24610E+01
 150.84   1.58027E+02   2.32576E-01   8.78622E+01  -1.26103E+02
 151.34   5.90529E+02   8.86719E-02   1.41254E+01  -5.88033E+02
 151.84   1.07846E+03   1.82745E-01  -5.37636E+02  -9.13886E+02
 152.35   1.60630E+03   6.20184E-01  -1.00173E+03  -7.64412E+02
 152.85   1.81124E+03   9.18655E-01  -4.38219E+02  -5.65665E+02
 153.35   1.28117E+03   8.27118E-01   2.42506E+02  -6.77987E+02
 153.85   1.34680E+03   5.68625E-01  -1.41618E+02  -1.09879E+03
 154.36   3.02683E+03   7.05573E-01  -7.71168E+02  -2.00150E+03
 154.86   4.47979E+03   7.20031E-01  -1.26456E+03  -2.83989E+03
 155.36   4.64953E+03   7.51732E-01  -2.06985E+03  -2.26217E+03
 155.87   4.93622E+03   9.19640E-01  -1.74933E+03  -8.35857E+02
 156.37   4.92969E+03   9.88662E-01  -4.24185E+01  -7.39026E+02
 156.87   3.95857E+03   9.09046E-01   1.86018E+02  -1.63900E+03
 157.37   4.63055E+03   9.13807E-01  -1.10374E+03  -1.52275E+03
 157.88   6.86620E+03   9.72741E-01  -1.42815E+03  -7.03981E+02
 158.38   6.61631E+03   9.74732E-01  -1.47736E+03   4.11463E+01
 158.88   4.66971E+03   8.72993E-01  -1.57145E+03   1.64860E+03
 159.39   4.20008E+03   6.21043E-01  -6.64225E+01   3.29125E+03
 159.89   3.22640E+03   4.18166E-01   1.13975E+03   2.70006E+03
 160.39   1.26288E+03   1.21545E-01   7.00816E+02   1.03930E+03
 160.89   1.45972E+03  -7.76529E-02   1.14284E+03   9.01021E+02
 161.40   2.12188E+03  -3.30511E-01   1.45582E+03   1.37519E+03
 161.90   1.40581E+03  -9.77481E-01   1.02426E+02   2.78417E+02
 162.40   2.36860E+03  -4.44821E-01   1.77959E+02  -2.11388E+03
 162.91   3.92789E+03  -1.72033E-01   5.99418E+02  -3.82262E+03
 163.41   3.56486E+03   2.27007E-01  -1.21118E+03  -3.25367E+03
 163.91   4.29050E+03   9.37575E-01  -1.02491E+03  -1.08448E+03
 164.41   5.00481E+03   9.74445E-01   1.06918E+03   3.47433E+02
 164.92   2.60402E+03   9.29331E-01   5.50739E+02   7.88180E+02
 165.42   1.90038E+03   3.00407E-01   7.65294E+02   1.64312E+03
 165.92   3.32138E+03   1.73743E-02   2.49230E+03   2.19469E+03
 166.42   1.76427E+03  -2.13459E-01   1.14995E+03   1.28392E+03
 166.93   1.30867E+03  -8.44189E-01   7.00900E+02   2.91629E+01
 167.43   3.59854E+03  -7.16185E-01   2.40927E+03  -7.09115E+02
 167.93   2.81076E+03  -8.37224E-01   4.17420E+02  -1.47933E+03
 168.44   2.73803E+03   4.95941E-01  -5.79729E+02  -2.30582E+03
 168.94   5.40227E+03   7.95709E-01   2.05605E+03  -2.54536E+03
 169.44   3.72288E+03   9.38394E-01   6.15743E+02  -1.12957E+03
 169.94   2.51354E+03   2.93278E-01  -6.95214E+02   2.30025E+03
 170.45   5.72442E+03  -3.75749E-01   2.21192E+03   4.82181E+03
 170.95   4.22678E+03  -6.89512E-01   6.55228E+02   2.99040E+03
 171.45   2.32224E+03  -5.40102E-01  -8.35382E+02  -1.76686E+03
 171.96   5.91085E+03  -4.67622E-02   3.24920E+03  -4.92996E+03
 172.46   4.30738E+03   6.46038E-02   1.90851E+03  -3.85145E+03
 172.96   1.75924E+03   9.34170E-01  -3.48741E+02   5.21961E+02
 173.46   6.37347E+03   2.66234E-01   4.69120E+03   3.96667E+03
